1950,24 Jun 1950 - 15:00 ,Group 1,Brazil,4,0,Mexico,1,0
1950,25 Jun 1950 - 15:00 ,Group 2,England,2,0,Chile,1,0
1950,25 Jun 1950 - 15:00 ,Group 2,Spain,3,1,USA,0,1
1950,25 Jun 1950 - 15:00 ,Group 3,Sweden,3,2,Italy,2,1
1950,25 Jun 1950 - 15:00 ,Group 1,Yugoslavia,3,0,Switzerland,0,0
1950,28 Jun 1950 - 15:00 ,Group 1,Brazil,2,2,Switzerland,2,1
1950,28 Jun 1950 - 15:00 ,Group 1,Yugoslavia,4,1,Mexico,2,0
1950,29 Jun 1950 - 15:00 ,Group 2,Spain,2,0,Chile,2,0
1950,29 Jun 1950 - 15:30 ,Group 3,Sweden,2,2,Paraguay,2,1
1950,29 Jun 1950 - 15:00 ,Group 2,USA,1,0,England,1,0
1950,01 Jul 1950 - 15:00 ,Group 1,Brazil,2,0,Yugoslavia,1,0
1950,02 Jul 1950 - 15:00 ,Group 2,Spain,1,0,England,0,0
1950,02 Jul 1950 - 15:00 ,Group 3,Italy,2,0,Paraguay,1,0
1950,02 Jul 1950 - 15:00 ,Group 4,Uruguay,8,0,Bolivia,4,0
1950,02 Jul 1950 - 15:40 ,Group 1,Switzerland,2,1,Mexico,2,0
1950,02 Jul 1950 - 15:00 ,Group 2,Chile,5,2,USA,2,0
1950,09 Jul 1950 - 15:00 ,Group 6,Uruguay,2,2,Spain,1,2
1950,09 Jul 1950 - 15:00 ,Group 6,Brazil,7,1,Sweden,3,0
1950,13 Jul 1950 - 15:00 ,Group 6,Brazil,6,1,Spain,3,0
1950,13 Jul 1950 - 15:00 ,Group 6,Uruguay,3,2,Sweden,1,2
1950,16 Jul 1950 - 15:00 ,Group 6,Sweden,3,1,Spain,2,0
1950,16 Jul 1950 - 15:00 ,Group 6,Uruguay,2,1,Brazil,0,0
1954,16 Jun 1954 - 18:00 ,Group 3,Uruguay,2,0,Czechoslovakia,0,0
1954,16 Jun 1954 - 18:00 ,Group 3,Austria,1,0,Scotland,1,0
1954,16 Jun 1954 - 18:00 ,Group 1,Brazil,5,0,Mexico,4,0
1954,16 Jun 1954 - 18:00 ,Group 1,Yugoslavia,1,0,France,1,0
1954,17 Jun 1954 - 18:00 ,Group 2,Germany,4,1,Turkey,1,1
1954,17 Jun 1954 - 18:00 ,Group 2,Hungary,9,0,Korea Republic,4,0
1954,17 Jun 1954 - 18:10 ,Group 4,England,4,4,Belgium,0,0
1954,17 Jun 1954 - 17:50 ,Group 4,Switzerland,2,1,Italy,1,1
1954,19 Jun 1954 - 16:50 ,Group 3,Uruguay,7,0,Scotland,2,0
1954,19 Jun 1954 - 17:00 ,Group 3,Austria,5,0,Czechoslovakia,4,0
1954,19 Jun 1954 - 17:10 ,Group 1,France,3,2,Mexico,1,0
1954,19 Jun 1954 - 17:00 ,Group 1,Brazil,1,1,Yugoslavia,0,0
1954,20 Jun 1954 - 16:50 ,Group 2,Hungary,8,3,Germany,3,1
1954,20 Jun 1954 - 17:00 ,Group 2,Turkey,7,0,Korea Republic,4,0
1954,20 Jun 1954 - 17:10 ,Group 4,England,2,0,Switzerland,1,0
1954,20 Jun 1954 - 17:00 ,Group 4,Italy,4,1,Belgium,1,0
1954,23 Jun 1954 - 18:00 ,Group 2,Germany,7,2,Turkey,3,1
1954,23 Jun 1954 - 18:00 ,Group 4,Switzerland,4,1,Italy,1,0
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Uruguay,4,2,England,2,1
1954,26 Jun 1954 - 17:00 ,Quarter-finals,Austria,7,5,Switzerland,5,4
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Germany,2,0,Yugoslavia,1,0
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Hungary,4,2,Brazil,2,1
1954,30 Jun 1954 - 18:00 ,Semi-finals,Germany,6,1,Austria,1,0
1954,30 Jun 1954 - 18:00 ,Semi-finals,Hungary,4,2,Uruguay,0,0
1954,03 Jul 1954 - 17:00 ,Match for third place,Austria,3,1,Uruguay,1,1
1954,04 Jul 1954 - 17:00 ,Final,Germany,3,2,Hungary,2,2
1958,08 Jun 1958 - 14:00 ,Group 3,Sweden,3,0,Mexico,1,0
1958,08 Jun 1958 - 19:00 ,Group 4,Soviet Union,2,2,England,1,0
1958,08 Jun 1958 - 19:00 ,Group 1,Argentina,1,3,Germany,1,2
1958,08 Jun 1958 - 19:00 ,Group 3,Hungary,1,1,Wales,1,1
1958,08 Jun 1958 - 19:00 ,Group 2,France,7,3,Paraguay,2,2
1958,08 Jun 1958 - 19:00 ,Group 2,Yugoslavia,1,1,Scotland,1,0
1958,08 Jun 1958 - 19:00 ,Group 4,Brazil,3,0,Austria,1,0
1958,08 Jun 1958 - 19:00 ,Group 1,Northern Ireland,1,0,Czechoslovakia,1,0
1958,11 Jun 1958 - 19:00 ,Group 4,Brazil,0,0,England,0,0
1958,11 Jun 1958 - 19:00 ,Group 3,Mexico,1,1,Wales,0,1
1958,11 Jun 1958 - 19:00 ,Group 2,Paraguay,3,2,Scotland,2,1
1958,11 Jun 1958 - 19:00 ,Group 2,Yugoslavia,3,2,France,1,1
1958,11 Jun 1958 - 19:00 ,Group 4,Soviet Union,2,0,Austria,1,0
1958,11 Jun 1958 - 19:00 ,Group 1,Germany,2,2,Czechoslovakia,0,2
1958,11 Jun 1958 - 19:00 ,Group 1,Argentina,3,1,Northern Ireland,1,1
1958,12 Jun 1958 - 19:00 ,Group 3,Sweden,2,1,Hungary,1,0
